conditionId	targetId	targetValue
figure3B__0_0__0_0	extracellular_ROS	0.0
figure3B__60_0__0_0	extracellular_ROS	25000.0
figure2C__0_0__500000	extracellular_ROS	0.0
figure2D__0_0__500000	extracellular_ROS	0.0
figure3C__0_0__0_0	extracellular_ROS	0.0
figure3C__5_0__0_0	extracellular_ROS	25000.0
figure3C__10_0__0_0	extracellular_ROS	50000.0
figure3C__20_0__0_0	extracellular_ROS	100000.0
figure3C__50_0__0_0	extracellular_ROS	250000.0
figure2B__0_0__1em14	extracellular_ROS	0.0
figure2B__0_0__1_5em11	extracellular_ROS	0.0
figure2B__0_0__2em11	extracellular_ROS	0.0
figure2B__0_0__3_5em11	extracellular_ROS	0.0
figure2B__0_0__4_5em11	extracellular_ROS	0.0
figure2B__0_0__5em11	extracellular_ROS	0.0
figure2B__0_0__1_3em10	extracellular_ROS	0.0
figure2B__0_0__1_5em10	extracellular_ROS	0.0
figure2B__0_0__2em10	extracellular_ROS	0.0
figure2B__0_0__3_1em10	extracellular_ROS	0.0
figure2B__0_0__4em10	extracellular_ROS	0.0
figure2B__0_0__5em10	extracellular_ROS	0.0
figure2B__0_0__1em09	extracellular_ROS	0.0
figure2B__0_0__1_5em09	extracellular_ROS	0.0
figure2B__0_0__2em09	extracellular_ROS	0.0
figure2B__0_0__3em09	extracellular_ROS	0.0
figure2B__0_0__5em09	extracellular_ROS	0.0
figure2B__0_0__1em08	extracellular_ROS	0.0
figure2B__0_0__1_5em08	extracellular_ROS	0.0
figure2B__0_0__3em08	extracellular_ROS	0.0
figure2B__0_0__5em08	extracellular_ROS	0.0
figure2B__0_0__1em07	extracellular_ROS	0.0
figure2B__0_0__3em07	extracellular_ROS	0.0
figure2B__0_0__1em06	extracellular_ROS	0.0
figure3B__0_0__5_0	extracellular_ROS	0.0
figure3B__60_0__5_0	extracellular_ROS	25000.0
figure3B__0_0__0_0	Ins	5.0
figure3B__60_0__0_0	Ins	5.0
figure2C__0_0__500000	Ins	500000.0
figure2D__0_0__500000	Ins	500000.0
figure3C__0_0__0_0	Ins	5000.0
figure3C__5_0__0_0	Ins	5000.0
figure3C__10_0__0_0	Ins	5000.0
figure3C__20_0__0_0	Ins	5000.0
figure3C__50_0__0_0	Ins	5000.0
figure2B__0_0__1em14	Ins	0.049965999999999997
figure2B__0_0__1_5em11	Ins	74.949
figure2B__0_0__2em11	Ins	99.93199999999999
figure2B__0_0__3_5em11	Ins	174.881
figure2B__0_0__4_5em11	Ins	224.847
figure2B__0_0__5em11	Ins	249.83
figure2B__0_0__1_3em10	Ins	649.558
figure2B__0_0__1_5em10	Ins	749.49
figure2B__0_0__2em10	Ins	999.32
figure2B__0_0__3_1em10	Ins	1548.9460000000001
figure2B__0_0__4em10	Ins	1998.64
figure2B__0_0__5em10	Ins	2498.3
figure2B__0_0__1em09	Ins	4996.6
figure2B__0_0__1_5em09	Ins	7494.9
figure2B__0_0__2em09	Ins	9993.2
figure2B__0_0__3em09	Ins	14989.8
figure2B__0_0__5em09	Ins	24983.0
figure2B__0_0__1em08	Ins	49966.0
figure2B__0_0__1_5em08	Ins	74949.0
figure2B__0_0__3em08	Ins	149898.0
figure2B__0_0__5em08	Ins	249830.0
figure2B__0_0__1em07	Ins	499660.0
figure2B__0_0__3em07	Ins	1498980.0
figure2B__0_0__1em06	Ins	4996600.0
figure3B__0_0__5_0	Ins	50000.0
figure3B__60_0__5_0	Ins	50000.0
figure3B__0_0__0_0	t_ins	240.0
figure3B__60_0__0_0	t_ins	240.0
figure2C__0_0__500000	t_ins	15.0
figure2D__0_0__500000	t_ins	15.0
figure3C__0_0__0_0	t_ins	960.0
figure3C__5_0__0_0	t_ins	960.0
figure3C__10_0__0_0	t_ins	960.0
figure3C__20_0__0_0	t_ins	960.0
figure3C__50_0__0_0	t_ins	960.0
figure2B__0_0__1em14	t_ins	30.0
figure2B__0_0__1_5em11	t_ins	30.0
figure2B__0_0__2em11	t_ins	30.0
figure2B__0_0__3_5em11	t_ins	30.0
figure2B__0_0__4_5em11	t_ins	30.0
figure2B__0_0__5em11	t_ins	30.0
figure2B__0_0__1_3em10	t_ins	30.0
figure2B__0_0__1_5em10	t_ins	30.0
figure2B__0_0__2em10	t_ins	30.0
figure2B__0_0__3_1em10	t_ins	30.0
figure2B__0_0__4em10	t_ins	30.0
figure2B__0_0__5em10	t_ins	30.0
figure2B__0_0__1em09	t_ins	30.0
figure2B__0_0__1_5em09	t_ins	30.0
figure2B__0_0__2em09	t_ins	30.0
figure2B__0_0__3em09	t_ins	30.0
figure2B__0_0__5em09	t_ins	30.0
figure2B__0_0__1em08	t_ins	30.0
figure2B__0_0__1_5em08	t_ins	30.0
figure2B__0_0__3em08	t_ins	30.0
figure2B__0_0__5em08	t_ins	30.0
figure2B__0_0__1em07	t_ins	30.0
figure2B__0_0__3em07	t_ins	30.0
figure2B__0_0__1em06	t_ins	30.0
figure3B__0_0__5_0	t_ins	240.0
figure3B__60_0__5_0	t_ins	240.0
figure3B__0_0__0_0	indicator_jnk	1.0
figure3B__60_0__0_0	indicator_jnk	1.0
figure2C__0_0__500000	indicator_jnk	0.0
figure2D__0_0__500000	indicator_jnk	0.0
figure3C__0_0__0_0	indicator_jnk	1.0
figure3C__5_0__0_0	indicator_jnk	1.0
figure3C__10_0__0_0	indicator_jnk	1.0
figure3C__20_0__0_0	indicator_jnk	1.0
figure3C__50_0__0_0	indicator_jnk	1.0
figure2B__0_0__1em14	indicator_jnk	0.0
figure2B__0_0__1_5em11	indicator_jnk	0.0
figure2B__0_0__2em11	indicator_jnk	0.0
figure2B__0_0__3_5em11	indicator_jnk	0.0
figure2B__0_0__4_5em11	indicator_jnk	0.0
figure2B__0_0__5em11	indicator_jnk	0.0
figure2B__0_0__1_3em10	indicator_jnk	0.0
figure2B__0_0__1_5em10	indicator_jnk	0.0
figure2B__0_0__2em10	indicator_jnk	0.0
figure2B__0_0__3_1em10	indicator_jnk	0.0
figure2B__0_0__4em10	indicator_jnk	0.0
figure2B__0_0__5em10	indicator_jnk	0.0
figure2B__0_0__1em09	indicator_jnk	0.0
figure2B__0_0__1_5em09	indicator_jnk	0.0
figure2B__0_0__2em09	indicator_jnk	0.0
figure2B__0_0__3em09	indicator_jnk	0.0
figure2B__0_0__5em09	indicator_jnk	0.0
figure2B__0_0__1em08	indicator_jnk	0.0
figure2B__0_0__1_5em08	indicator_jnk	0.0
figure2B__0_0__3em08	indicator_jnk	0.0
figure2B__0_0__5em08	indicator_jnk	0.0
figure2B__0_0__1em07	indicator_jnk	0.0
figure2B__0_0__3em07	indicator_jnk	0.0
figure2B__0_0__1em06	indicator_jnk	0.0
figure3B__0_0__5_0	indicator_jnk	1.0
figure3B__60_0__5_0	indicator_jnk	1.0
figure3B__0_0__0_0	indicator_foxo	1.0
figure3B__60_0__0_0	indicator_foxo	1.0
figure2C__0_0__500000	indicator_foxo	0.0
figure2D__0_0__500000	indicator_foxo	0.0
figure3C__0_0__0_0	indicator_foxo	1.0
figure3C__5_0__0_0	indicator_foxo	1.0
figure3C__10_0__0_0	indicator_foxo	1.0
figure3C__20_0__0_0	indicator_foxo	1.0
figure3C__50_0__0_0	indicator_foxo	1.0
figure2B__0_0__1em14	indicator_foxo	0.0
figure2B__0_0__1_5em11	indicator_foxo	0.0
figure2B__0_0__2em11	indicator_foxo	0.0
figure2B__0_0__3_5em11	indicator_foxo	0.0
figure2B__0_0__4_5em11	indicator_foxo	0.0
figure2B__0_0__5em11	indicator_foxo	0.0
