experimentId	time	conditionId
experiment____figure2B__0_0__1_3em10	0	figure2B__0_0__1_3em10
experiment____figure2B__0_0__1_5em08	0	figure2B__0_0__1_5em08
experiment____figure2B__0_0__1_5em09	0	figure2B__0_0__1_5em09
experiment____figure2B__0_0__1_5em10	0	figure2B__0_0__1_5em10
experiment____figure2B__0_0__1_5em11	0	figure2B__0_0__1_5em11
experiment____figure2B__0_0__1em06	0	figure2B__0_0__1em06
experiment____figure2B__0_0__1em07	0	figure2B__0_0__1em07
experiment____figure2B__0_0__1em08	0	figure2B__0_0__1em08
experiment____figure2B__0_0__1em09	0	figure2B__0_0__1em09
experiment____figure2B__0_0__1em14	0	figure2B__0_0__1em14
experiment____figure2B__0_0__2em09	0	figure2B__0_0__2em09
experiment____figure2B__0_0__2em10	0	figure2B__0_0__2em10
experiment____figure2B__0_0__2em11	0	figure2B__0_0__2em11
experiment____figure2B__0_0__3_1em10	0	figure2B__0_0__3_1em10
experiment____figure2B__0_0__3_5em11	0	figure2B__0_0__3_5em11
experiment____figure2B__0_0__3em07	0	figure2B__0_0__3em07
experiment____figure2B__0_0__3em08	0	figure2B__0_0__3em08
experiment____figure2B__0_0__3em09	0	figure2B__0_0__3em09
experiment____figure2B__0_0__4_5em11	0	figure2B__0_0__4_5em11
experiment____figure2B__0_0__4em10	0	figure2B__0_0__4em10
experiment____figure2B__0_0__5em08	0	figure2B__0_0__5em08
experiment____figure2B__0_0__5em09	0	figure2B__0_0__5em09
experiment____figure2B__0_0__5em10	0	figure2B__0_0__5em10
experiment____figure2B__0_0__5em11	0	figure2B__0_0__5em11
experiment____figure2C__0_0__500000	0	figure2C__0_0__500000
experiment____figure2D__0_0__500000	0	figure2D__0_0__500000
experiment____figure3B__0_0__0_0	0	figure3B__0_0__0_0
experiment____figure3B__0_0__5_0	0	figure3B__0_0__5_0
experiment____figure3B__60_0__0_0	0	figure3B__60_0__0_0
experiment____figure3B__60_0__5_0	0	figure3B__60_0__5_0
experiment____figure3C__0_0__0_0	0	figure3C__0_0__0_0
experiment____figure3C__10_0__0_0	0	figure3C__10_0__0_0
experiment____figure3C__20_0__0_0	0	figure3C__20_0__0_0
experiment____figure3C__50_0__0_0	0	figure3C__50_0__0_0
experiment____figure3C__5_0__0_0	0	figure3C__5_0__0_0
