conditionId	targetId	targetValue
Ca_dose_response__1	IP3	10.0
Ca_dose_response__2	IP3	10.0
Ca_dose_response__3	IP3	10.0
Ca_dose_response__4	IP3	10.0
Ca_dose_response__5	IP3	10.0
Ca_dose_response__6	IP3	10.0
IP3_dose_response__1	IP3	3.0
IP3_dose_response__2	IP3	5.0
IP3_dose_response__3	IP3	10.0
Ca_dose_response__1	Ca	0.1
Ca_dose_response__2	Ca	0.2
Ca_dose_response__3	Ca	0.4
Ca_dose_response__4	Ca	1.0
Ca_dose_response__5	Ca	3.0
Ca_dose_response__6	Ca	10.0
IP3_dose_response__1	Ca	0.4
IP3_dose_response__2	Ca	0.4
IP3_dose_response__3	Ca	0.4
