experimentId	observableId	measurement	time	observableParameters	noiseParameters	experimentName	replicateId	useData
experiment____Ca_dose_response__1	open_probability	-0.01	0.0		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.113	0.07		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.065	0.14		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.037000000000000005	0.21		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.022	0.28		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.017	0.35		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.008	0.42		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.008	0.49		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.011	0.56		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.005	0.63		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.01	0.7		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.006	0.77		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.009000000000000001	0.84		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.006	0.91		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__1	open_probability	0.008	0.98		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	-0.018000000000000002	0.0		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.174	0.07		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.106	0.14		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.065	0.21		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.036000000000000004	0.28		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.024	0.35		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.015	0.42		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.01	0.49		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.006999999999999999	0.56		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.005	0.63		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.006	0.7		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.008	0.77		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.005	0.84		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.017	0.91		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__2	open_probability	0.015	0.98		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.008	0.0		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.327	0.07		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.297	0.14		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.189	0.21		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.121	0.28		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.084	0.35		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.057	0.42		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.047	0.49		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.04	0.56		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.039	0.63		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.036000000000000004	0.7		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.03	0.77		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.024	0.84		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.024	0.91		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__3	open_probability	0.026	0.98		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.012	0.0		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.253	0.07		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.214	0.14		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.109	0.21		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.047	0.28		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.022	0.35		sigma	Ca^{2+} response	1	True
experiment____Ca_dose_response__4	open_probability	0.016	0.42		sigma	Ca^{2+} response	1	True
