parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
k1	k1	0.001	100000	3.72721095730996	true	
k2	k2	0.001	100000	99999.9999999908	true	
k3	k3	0.001	100000	15.7453406923706	true	
k4	k4	0.001	100000	99938.2576283144	true	
k_1	k_{1}	0.001	100000	0.923924728172173	true	
k_2	k_{2}	0.001	100000	0.001002494725324	true	
k_3	k_{3}	0.001	100000	1.91463005974811	true	
k_4	k_{4}	0.001	100000	3079.20732487903	true	
l2	l2	0.001	100000	0.940077018858089	true	
l4	l4	0.001	100000	2.85837713545253	true	
l6	l6	0.001	100000	99999.9999999908	true	
l_2	l_{2}	0.001	100000	0.347664459128102	true	
l_4	l_{4}	0.001	100000	0.01388020361713	true	
l_6	l_{6}	0.001	100000	0.001	true	
sigma	\sigma	1e-05	1000	0.022665679544462	true	
