conditionId	targetId	targetValue
model1_data1	Ect_Expr_CERT_flag	0
model1_data2	Ect_Expr_CERT_flag	0
model1_data3	Ect_Expr_CERT_flag	1
model1_data1	Ect_Expr_PI4K3beta_flag	0
model1_data2	Ect_Expr_PI4K3beta_flag	1
model1_data3	Ect_Expr_PI4K3beta_flag	0
model1_data1	PdBu_dose	0
model1_data2	PdBu_dose	1
model1_data3	PdBu_dose	0
model1_data1	PdBu_time	0
model1_data2	PdBu_time	24
model1_data3	PdBu_time	0
model1_data1	kb_NB142_70_dose	0
model1_data2	kb_NB142_70_dose	0
model1_data3	kb_NB142_70_dose	10
model1_data1	kb_NB142_70_time	0
model1_data2	kb_NB142_70_time	0
model1_data3	kb_NB142_70_time	24
