parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
a11	a11	0.0001	100	0.182532326367113	true	
a12	a12	0.0001	100	26.6713328753608	true	
a21	a21	0.0001	100	1.87704479834148	true	
a22	a22	0.0001	100	0.0001	true	
a31	a31	0.0001	100	0.135335059339132	true	
a32	a32	0.0001	100	0.0001	true	
a33	a33	0.0001	100	0.0001	true	
m11	m11	100.0	10000000000	10000000000.0	true	
m22	m22	100.0	10000000000	2153.51392335252	true	
m31	m31	100.0	10000000000	9970035709.05734	true	
m33	m33	100.0	10000000000	41871228.8317411	true	
p11	p11	1e-05	100000	4.24383990916234	true	
p12	p12	1e-05	100000	0.005935939292274	true	
p13	p13	1e-05	100000	0.002460257477278	true	
p21	p21	1e-05	100000	5.6290367522644	true	
p22	p22	1e-05	100000	21.7856860653472	true	
p31	p31	1e-05	100000	2537.97413617078	true	
p32	p32	1e-05	100000	16.7677390849425	true	
p33	p33	1e-05	100000	21658.8400024158	true	
pu2	pu2	1e-05	1000	1.0	false	
pu3	pu3	0.1	100000000	100000000.0	true	
pu4	pu4	0.1	100000000	33133606.9433133	true	
pu5	pu5	0.1	100000000	33.6959765525242	true	
pu6	pu6	0.1	100000000	113.366007469962	true	
s12	s12	100.0	10000000	88461.2150536401	true	
s21	s21	100.0	10000000	2961147.46928213	true	
s31	s31	100.0	10000000	4327961.43037034	true	
scale_yCERTpRN24	scale_{yCERTpRN24}	1e-05	1000	121.028409854968	true	
scale_yPI4K3BpRN24	scale_{yPI4K3BpRN24}	1e-05	1000	3.39366857781642	true	
scale_yPKDpN0	scale_{yPKDpN0}	1e-05	1000	0.007176447966379	true	
scale_yPKDpN24	scale_{yPKDpN24}	1e-05	1000	0.003370141139919	true	
scale_yPKDpN25	scale_{yPKDpN25}	1e-05	1000	0.000237349365354	true	
std_yPKDt	std_{yPKDt}	0.01	10000000000	1910527.835	false	
std_yPI4K3Bt	std_{yPI4K3Bt}	0.01	10000000000	887676.131	false	
std_yCERTt	std_{yCERTt}	0.01	10000000000	244727220.419	false	
std_yPKDpN0	std_{yPKDpN0}	0.01	100	0.974100018572643	true	
std_yPKDpN24	std_{yPKDpN24}	0.01	100	1.08030443428794	true	
std_yPKDpN25	std_{yPKDpN25}	0.01	100	0.117466359121065	true	
std_yPI4K3BpRN24	std_{yPI4K3BpRN24}	0.01	100	0.414223339385595	true	
std_yCERTpRN24	std_{yCERTpRN24}	0.01	100	0.066162154188523	true	
