conditionId	targetId	targetValue
model1_Wuhan_Stage_I	Trigger_Stage_I	1
model1_Wuhan_Stage_II	Trigger_Stage_I	0
model1_Wuhan_Stage_III	Trigger_Stage_I	0
model1_Hubei_Stage_I	Trigger_Stage_I	1
model1_Hubei_Stage_II	Trigger_Stage_I	0
model1_China_Stage_I	Trigger_Stage_I	1
model1_China_Stage_II	Trigger_Stage_I	0
model1_Wuhan_Stage_I	Trigger_Stage_II	0
model1_Wuhan_Stage_II	Trigger_Stage_II	1
model1_Wuhan_Stage_III	Trigger_Stage_II	0
model1_Hubei_Stage_I	Trigger_Stage_II	0
model1_Hubei_Stage_II	Trigger_Stage_II	1
model1_China_Stage_I	Trigger_Stage_II	0
model1_China_Stage_II	Trigger_Stage_II	1
model1_Wuhan_Stage_I	Trigger_Stage_III	0
model1_Wuhan_Stage_II	Trigger_Stage_III	0
model1_Wuhan_Stage_III	Trigger_Stage_III	1
model1_Hubei_Stage_I	Trigger_Stage_III	0
model1_Hubei_Stage_II	Trigger_Stage_III	0
model1_China_Stage_I	Trigger_Stage_III	0
model1_China_Stage_II	Trigger_Stage_III	0
model1_Wuhan_Stage_I	Trigger_Wuhan	1
model1_Wuhan_Stage_II	Trigger_Wuhan	1
model1_Wuhan_Stage_III	Trigger_Wuhan	1
model1_Hubei_Stage_I	Trigger_Wuhan	0
model1_Hubei_Stage_II	Trigger_Wuhan	0
model1_China_Stage_I	Trigger_Wuhan	0
model1_China_Stage_II	Trigger_Wuhan	0
model1_Wuhan_Stage_I	Trigger_Hubei	0
model1_Wuhan_Stage_II	Trigger_Hubei	0
model1_Wuhan_Stage_III	Trigger_Hubei	0
model1_Hubei_Stage_I	Trigger_Hubei	1
model1_Hubei_Stage_II	Trigger_Hubei	1
model1_China_Stage_I	Trigger_Hubei	0
model1_China_Stage_II	Trigger_Hubei	0
model1_Wuhan_Stage_I	Trigger_China	0
model1_Wuhan_Stage_II	Trigger_China	0
model1_Wuhan_Stage_III	Trigger_China	0
model1_Hubei_Stage_I	Trigger_China	0
model1_Hubei_Stage_II	Trigger_China	0
model1_China_Stage_I	Trigger_China	1
model1_China_Stage_II	Trigger_China	1
