experimentId	observableId	measurement	time	observableParameters	noiseParameters	datasetId
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	258	15		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	363	16		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	425	17		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	495	18		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	572	19		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	618	20		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	698	21		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	1590	22		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	1905	23		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_I	observable_confirmed_infected	2261	24		sd_confirmed_infected_Wuhan_Stage_I	model1_data_observable_confirmed_infected_Wuhan_Stage_I
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	1905	0		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	2261	1		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	2639	2		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	3215	3		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	4109	4		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	5142	5		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	6384	6		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	8351	7		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	10117	8		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	11618	9		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	13603	10		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	14982	11		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	16902	12		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	18454	13		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_II	observable_confirmed_infected	19558	14		sd_confirmed_infected_Wuhan_Stage_II	model1_data_observable_confirmed_infected_Wuhan_Stage_II
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	35991	0		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	37914	1		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	39462	2		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	41152	3		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	42752	4		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	44412	5		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Wuhan_Stage_III	observable_confirmed_infected	45027	6		sd_confirmed_infected_Wuhan_Stage_III	model1_data_observable_confirmed_infected_Wuhan_Stage_III
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	12	15		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	12	16		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	19	17		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	54	18		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	157	19		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	434	20		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	725	21		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	1124	22		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	1649	23		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_I	observable_confirmed_infected	2325	24		sd_confirmed_infected_Hubei_Stage_I	model1_data_observable_confirmed_infected_Hubei_Stage_I
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	1649	0		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	2325	1		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	3167	2		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	3938	3		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	4965	4		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	6035	5		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	7138	6		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	8327	7		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	9548	8		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	10494	9		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	11350	10		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	12118	11		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	12729	12		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	12824	13		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_Hubei_Stage_II	observable_confirmed_infected	13808	14		sd_confirmed_infected_Hubei_Stage_II	model1_data_observable_confirmed_infected_Hubei_Stage_II
experiment____model1_China_Stage_I	observable_confirmed_infected	21	30		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	65	31		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	127	32		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	281	33		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	558	34		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	923	35		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	1321	36		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	1801	37		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	2420	38		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_I	observable_confirmed_infected	3125	39		sd_confirmed_infected_China_Stage_I	model1_data_observable_confirmed_infected_China_Stage_I
experiment____model1_China_Stage_II	observable_confirmed_infected	3886	0		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	4638	1		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	5306	2		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	6059	3		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	6949	4		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	7685	5		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	8395	6		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	9099	7		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	9645	8		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	10151	9		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	10604	10		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	10980	11		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	11364	12		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	11676	13		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
experiment____model1_China_Stage_II	observable_confirmed_infected	11946	14		sd_confirmed_infected_China_Stage_II	model1_data_observable_confirmed_infected_China_Stage_II
