parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorDistribution	priorParameters
sigma	sigma	1e-08	1	0.0	false	uniform	1e-08;1
R_Stage_I_Wuhan	R_Stage_I_Wuhan	0.001	100	4.7092	true	uniform	0.001;100
gamma_1_Stage_I_Wuhan	gamma_1_Stage_I_Wuhan	1e-08	1	0.063	true	uniform	1e-08;1
gamma_2_Stage_I_Wuhan	gamma_2_Stage_I_Wuhan	1e-08	1	0.05	true	uniform	1e-08;1
R_Stage_II_Wuhan	R_Stage_II_Wuhan	0.001	100	0.7575	true	uniform	0.001;100
gamma_1_Stage_II_Wuhan	gamma_1_Stage_II_Wuhan	1e-08	1	0.3917	true	uniform	1e-08;1
gamma_2_Stage_II_Wuhan	gamma_2_Stage_II_Wuhan	1e-08	1	0.0643	true	uniform	1e-08;1
R_Stage_III_Wuhan	R_Stage_III_Wuhan	0.001	100	0.4797	true	uniform	0.001;100
gamma_1_Stage_III_Wuhan	gamma_1_Stage_III_Wuhan	1e-08	1	0.6185	true	uniform	1e-08;1
gamma_2_Stage_III_Wuhan	gamma_2_Stage_III_Wuhan	1e-08	1	0.322	true	uniform	1e-08;1
R_Stage_I_Hubei	R_Stage_I_Hubei	0.001	100	5.934	true	uniform	0.001;100
gamma_1_Stage_I_Hubei	gamma_1_Stage_I_Hubei	1e-08	1	0.05	true	uniform	1e-08;1
gamma_2_Stage_I_Hubei	gamma_2_Stage_I_Hubei	1e-08	1	0.05	true	uniform	1e-08;1
R_Stage_II_Hubei	R_Stage_II_Hubei	0.001	100	0.6079	true	uniform	0.001;100
gamma_1_Stage_II_Hubei	gamma_1_Stage_II_Hubei	1e-08	1	0.488	true	uniform	1e-08;1
gamma_2_Stage_II_Hubei	gamma_2_Stage_II_Hubei	1e-08	1	0.1914	true	uniform	1e-08;1
R_Stage_I_China	R_Stage_I_China	0.001	100	1.5283	true	uniform	0.001;100
gamma_1_Stage_I_China	gamma_1_Stage_I_China	1e-08	1	0.1941	true	uniform	1e-08;1
gamma_2_Stage_I_China	gamma_2_Stage_I_China	1e-08	1	0.05	true	uniform	1e-08;1
R_Stage_II_China	R_Stage_II_China	0.001	100	0.5753	true	uniform	0.001;100
gamma_1_Stage_II_China	gamma_1_Stage_II_China	1e-08	1	0.5157	true	uniform	1e-08;1
gamma_2_Stage_II_China	gamma_2_Stage_II_China	1e-08	1	0.2189	true	uniform	1e-08;1
sd_confirmed_infected_Wuhan_Stage_I	sd_confirmed_infected_Wuhan_Stage_I	0.001	100000	1000.0	true	uniform	0.001;100000
sd_confirmed_infected_Wuhan_Stage_II	sd_confirmed_infected_Wuhan_Stage_II	0.001	100000	1000.0	true	uniform	0.001;100000
sd_confirmed_infected_Wuhan_Stage_III	sd_confirmed_infected_Wuhan_Stage_III	0.001	100000	1000.0	true	uniform	0.001;100000
sd_confirmed_infected_Hubei_Stage_I	sd_confirmed_infected_Hubei_Stage_I	0.001	100000	1000.0	true	uniform	0.001;100000
sd_confirmed_infected_Hubei_Stage_II	sd_confirmed_infected_Hubei_Stage_II	0.001	100000	1000.0	true	uniform	0.001;100000
sd_confirmed_infected_China_Stage_I	sd_confirmed_infected_China_Stage_I	0.001	100000	1000.0	true	uniform	0.001;100000
sd_confirmed_infected_China_Stage_II	sd_confirmed_infected_China_Stage_II	0.001	100000	1000.0	true	uniform	0.001;100000
