parameterId	parameterName	lowerBound	upperBound	nominalValue	estimate	priorParameters
inflowp	{inflowp}	1e-05	1000	0.030481175027538	true	
k00_01	k_{00->01}	1e-05	1000	997.285248531849	true	
k00_10	k_{00->10}	1e-05	1000	0.234022855508701	true	
k01_00	k_{01->00}	1e-05	1000	479.841669671183	true	
k01_02	k_{01->02}	1e-05	1000	1.91338331591714	true	
k01_11	k_{01->11}	1e-05	1000	2.65149503233364	true	
k02_01	k_{02->01}	1e-05	1000	0.069963622479452	true	
k02_03	k_{02->03}	1e-05	1000	1.00000043186406e-05	true	
k02_12	k_{02->12}	1e-05	1000	1.00000120988758e-05	true	
k03_02	k_{03->02}	1e-05	1000	1.00000000000005e-05	true	
k03_13	k_{03->13}	1e-05	1000	988.122424319195	true	
k10_00	k_{10->00}	1e-05	1000	1.00000000016979e-05	true	
k10_11	k_{10->11}	1e-05	1000	1.00000002387735e-05	true	
k10_20	k_{10->20}	1e-05	1000	0.269191681409128	true	
k11_01	k_{11->01}	1e-05	1000	1.00000000001725e-05	true	
k11_10	k_{11->10}	1e-05	1000	1.0002960370593e-05	true	
k11_12	k_{11->12}	1e-05	1000	11.8517895122981	true	
k11_21	k_{11->21}	1e-05	1000	1.00000003508203e-05	true	
k12_02	k_{12->02}	1e-05	1000	1.00000000000196e-05	true	
k12_11	k_{12->11}	1e-05	1000	0.1069993783787	true	
k12_13	k_{12->13}	1e-05	1000	0.035629896010771	true	
k12_22	k_{12->22}	1e-05	1000	0.010616590659942	true	
k13_03	k_{13->03}	1e-05	1000	450.435886070063	true	
k13_12	k_{13->12}	1e-05	1000	0.195255677936969	true	
k13_23	k_{13->23}	1e-05	1000	1.00000000438336e-05	true	
k20_10	k_{20->10}	1e-05	1000	1.00000000000005e-05	true	
k20_21	k_{20->21}	1e-05	1000	1.00000043202964e-05	true	
k20_30	k_{20->30}	1e-05	1000	0.150740144379533	true	
k21_11	k_{21->11}	1e-05	1000	1.00035442572023e-05	true	
k21_20	k_{21->20}	1e-05	1000	0.035397749723473	true	
k21_22	k_{21->22}	1e-05	1000	999.279628838538	true	
k21_31	k_{21->31}	1e-05	1000	1.00000000261933e-05	true	
k22_12	k_{22->12}	1e-05	1000	0.053379637739473	true	
k22_21	k_{22->21}	1e-05	1000	426.143170255777	true	
k22_23	k_{22->23}	1e-05	1000	0.151741400816166	true	
k22_32	k_{22->32}	1e-05	1000	1.00000000000005e-05	true	
k23_13	k_{23->13}	1e-05	1000	0.791201186423607	true	
k23_22	k_{23->22}	1e-05	1000	1.00000757856028e-05	true	
k30_20	k_{30->20}	1e-05	1000	1.00000137963734e-05	true	
k30_31	k_{30->31}	1e-05	1000	0.281302432113616	true	
k31_21	k_{31->21}	1e-05	1000	1.00087528532117e-05	true	
k31_30	k_{31->30}	1e-05	1000	1.00002400994625e-05	true	
k31_32	k_{31->32}	1e-05	1000	0.353631402713609	true	
k32_22	k_{32->22}	1e-05	1000	0.632981853600849	true	
k32_31	k_{32->31}	1e-05	1000	1.00000000000005e-05	true	
sigma	{sigma}	1e-05	1000	0.002339466852399	true	
